"Type","Class1Name","Class1Folder","Class1File","Class1Props","Class2Name","Class2Folder","Class2File","Class2Props","CommonProps","TypeMatches","Similarity"
"structural_duplicate","CENTRIFUGAL_COMPRESSOR_PROPERTIES","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\CompressorAnalysis\CENTRIFUGAL_COMPRESSOR_PROPERTIES.cs","0","CentrifugalCompressorProperties","Models","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Models\CompressorAnalysis\CentrifugalCompressorProperties.cs","3","0","0","0"
"structural_duplicate","RUN_TICKET_VALUATION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Pricing\RUN_TICKET_VALUATION.cs","0","RUN_TICKET_VALUATIONDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\PricingModelsDto.cs","32","0","0","0"
"structural_duplicate","GAS_LIFT_WELL_PROPERTIES","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\GasLift\GAS_LIFT_WELL_PROPERTIES.cs","0","GasLiftWellProperties","Models","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Models\GasLift\GasLiftWellProperties.cs","10","0","0","0"
"structural_duplicate","AR_INVOICE","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\AR_INVOICE.cs","0","ARInvoiceDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Accounting\ARInvoiceDto.cs","67","0","0","0"
"structural_duplicate","RUN_TICKET_VALUATION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\RUN_TICKET_VALUATION.cs","0","RUN_TICKET_VALUATIONDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\PricingModelsDto.cs","32","0","0","0"
"structural_duplicate","OIL_PROPERTY_RESULT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Common\OIL_PROPERTY_RESULT.cs","0","OilPropertyResult","Models","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Models\OilProperties\OilPropertyResult.cs","7","0","0","0"
"structural_duplicate","COST_TRANSACTION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\COST_TRANSACTION.cs","0","CostTransactionDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Accounting\CostTransactionDto.cs","25","0","0","0"
"semantic_duplicate","RoyaltyInterestDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\RoyaltyDto.cs","69","RoyaltyInterestDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\RoyaltyModelsDto.cs","34","21","18","42"
"semantic_duplicate","ValueRunTicketRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Pricing\PricingDto.cs","35","ValueRunTicketRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\PricingDto.cs","10","6","5","18.75"
"semantic_duplicate","GenerateOperationalReportRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Accounting\Reporting\ReportingRequestDTOs.cs","5","GenerateOperationalReportRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Reporting\ReportingDto.cs","47","3","3","9.09"
"semantic_duplicate","CreateExchangeContractRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Accounting\Trading\TradingRequestDTOs.cs","5","CreateExchangeContractRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Trading\TradingDto.cs","38","3","2","8.11"
"semantic_duplicate","CreateUnitAgreementRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Accounting\Unitization\UnitizationRequestDTOs.cs","3","CreateUnitAgreementRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Unitization\UnitizationDto.cs","32","2","2","6.67"
