ANL_ANALYSIS_BATCH,BATCH_ID,ANL_SAMPLE,BATCH_ID,BATCH_ID,"ANALYSIS_ID,ANL_SOURCE,SAMPLE_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_OIL_FRACTION,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,DISTILL_FRACTION_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_OIL_VISCOSITY,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,VISCOSITY_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_PALEO,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,PALYNOLOGY_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_PALEO_MATURITY,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,MATURATION_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_PARM,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,PARM_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_PROBLEM,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,PROBLEM_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_PYROLYSIS,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,PYROLYSIS_ANL_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_QGF_TSF,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,MEASUREMENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_REMARK,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,REMARK_SEQ_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_REPORT_ALIAS,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SOURCE","ANALYSIS_ID,SOURCE,ALIAS_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_SAMPLE,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,SAMPLE_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_TABLE_RESULT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,PPDM_SYSTEM_ID,PPDM_TABLE_NAME"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_WATER_ANALYSIS,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,WATER_ANALYSIS_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_WATER_DETAIL,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,DETAIL_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ANL_WATER_SALINITY,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE,WATER_SALINITY_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",APPLICATION_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","APPLICATION_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",AREA_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","AREA_ID,AREA_TYPE,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",BA_AUTHORITY_COMP,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","BUSINESS_ASSOCIATE_ID,AUTHORITY_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",BA_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","BUSINESS_ASSOCIATE_ID,COMPONENT_OBS_NO"
